অভ্যর্থনাকারী	obhyorthonakari	ovvorthonakari	obhyarthonakari	obhyortho-nakari	obhyarthanakari
প্রযুক্তিনির্ভরতা	projuktinirvorta	prajuktinirbharata	projukti-nirvorota	prajuktinirbharata	projuktinirvorta
ফল্গুধারা	folgudhara	pholgudhara	folgu-dhara	phalgudhara	folgudharaa
ফ্রিকোয়েন্সি	frikwensi	frequency	frikuensi	frekwensi	frikwency
ফ্রিল্যান্সার	freelancer	freelanser	frilancer	free-lancer	frilansar
ফ্রন্টলাইন	frontline	front-line	frantline	fronthline	frontlain
ফ্লুরোসেন্ট	fluorescent	flurocent	fluorosent	fluroshent	fluoroscent
ফ্ল্যাটবাড়ি	flatbari	flat-bari	flattbari	flatbari	flatbaRi
বক্ষব্যাধি	bokkhobyadhi	bokkho-byadhi	bakshobyadhi	bokkhabadhi	bakshabyadhi
বক্ষস্থল	bokkhosthol	bokkho-sthol	bakshasthal	bokkhastol	bakshosthal
বঙ্গোপসাগর	bonggoposhagor	bongoposhagor	bongo-poshagor	bangoposagar	bonggoposagor
বঞ্চনাপ্রবণ	bonchonaprobon	banchanaprobon	bonchona-probon	banchanaprabana	bonchonaprobon
বদ্ধপরিকর	boddhoporikor	baddhoporikor	boddho-porikor	baddhaparikara	boddhoporikor
বদ্ধমূলতা	boddhomulota	baddhomulota	boddho-mulota	baddhamulata	boddhomulota
বন্দ্যোপাধ্যায়	bondyopaddhay	bondyopadhyay	bondyo-paddhay	bandyopadhyay	bondyopaddhaya
বর্ণচ্ছটা	bornocchota	bornochchhota	borno-cchota	barnachchhata	bornocchota
বর্ণনাতীত	bornonatit	barnonatit	bornona-tit	barnanatita	bornonatit
বর্ণমালাভিত্তিক	bornomalabhittik	bornomalavittik	bornomala-bhittik	barnamalabhittik	bornomalabhittik
বর্ধিষ্ণু	bordhishnu	bardhishnu	bordhi-shnu	bardhishnu	bordhishnu
বর্ষণমুখর	borshonmukhor	barshonmukhor	borshon-mukhor	barshanamukhar	borshonmukhor
বহিষ্করণ	bohishkoron	bahishkaran	bohi-shkoron	bahishkaran	bohishkoron
বহিষ্কৃত	bohishkrito	bahishkrito	bohi-shkrito	bahishkrita	bohishkrito
বিচ্ছিন্নতাবাদ	bichchhinnatabad	bichchhinnatabad	bichchhinno-tabad	bichchhinnatabad	bichchhinnatabad
বিচ্ছুরণ	bichchuron	bichchhuran	bichchhu-ron	bichchhuran	bichchuron
বিচ্ছেদবেদনা	bichchhedobedona	bichchhedabedona	bichchhedo-bedona	bichchhedabedana	bichchhedobedona
বিজ্ঞানভিত্তিক	bigganbhittik	bigyanbhittik	biggan-bhittik	bigyanabhittik	bigganbhittik
বিজ্ঞপ্তিপত্র	biggoptipotro	bigyaptipotro	biggopti-potro	bigyaptipatra	biggoptipotro
বিজ্ঞানমনস্ক	bigganmonoshko	bigyanmonoshko	biggan-monoshko	bigyanamanaska	bigganmonoshko
বিতর্কযোগ্য	bitorkojoggo	bitarkajoggo	bitorko-joggo	bitarkayogya	bitorkojoggo
বিদ্যুৎচালিত	bidyutchalito	bidyutchalito	bidyut-chalito	vidyutchalita	bidyutchalito
বিদ্যুৎপ্রবাহ	bidyutprobaho	bidyutprabaho	bidyut-probaho	vidyutprabaha	bidyutprobaho
বিদ্যুৎস্পৃষ্ট	bidyutsprishto	bidyutsprishto	bidyut-sprishto	vidyutsprishta	bidyutsprishto
বিদ্বজ্জন	bidwojjon	bidwajjon	bidwoj-jon	vidwajjana	bidwojjon
বিনষ্টযোগ্য	binoshtojoggo	binashtajoggo	binoshto-joggo	vinashtayogya	binoshtojoggo
বিন্যাসযোগ্য	binnyashjoggo	binyasjoggo	binnyash-joggo	vinyasayogya	binnyashjoggo
বিনোদনশিল্প	binodonshilpo	binodanshilpo	binodon-shilpo	binodanashilpa	binodonshilpo
বিপর্যস্ত	biporjosto	biparyasto	biporjo-sto	biparyasta	biporjosto
বিপ্লবাত্মক	biplobattok	biplobatmak	biplobo-attok	biplabatmaka	biplobattok
বিভ্রান্তিকর	bibhrantikor	bibhrantikaro	bibhranti-kor	vibhrantikara	bibhrantikor
বিমূর্ততা	bimurtota	bimurtota	bimurto-ta	bimurtata	bimurtota
বিম্বপ্রতিবিম্ব	bimboprotibimbo	bimbaprotibimbo	bimbo-protibimbo	bimbapratibimba	bimboprotibimbo
বিরুদ্ধাচরণ	biruddhachoron	biruddhacharan	biruddho-achoron	viruddhacharana	biruddhachoron
বিবর্তনশীল	bibortonshil	bibartanshil	biborton-shil	bibartanashil	bibortonshil
বিশ্লেষণধর্মী	bishleshonodhormi	bishleshanodharmi	bishleshon-dhormi	bishleshanadharmi	bishleshonodhormi
বিশ্বাসযোগ্যতা	bishshashjoggotā	bishwasjoggotā	bishshash-joggotā	bishwasayoggyata	bishshashjoggotā
বিশ্বস্ততা	bishshostota	bishwastota	bishsho-stota	bishwastata	bishshostota
বিশ্বব্রহ্মাণ্ড	bishshobrohmando	bishwabrahmando	bishsho-brohmando	bishwabrahmanda	bishshobrohmando
বিষণ্ণতা	bishonnata	bishonnota	bishoNNo-ta	bishannata	bishonnata
বিষ্ফোরক	bishphorok	bishforok	bish-phorok	bishphoraka	bishphorok
বিষ্ফোরণপ্রবণ	bishphoronprobon	bishforonprobon	bishphoron-probon	bishphoranaprabana	bishphoronprobon
বিস্ময়াভিভূত	bismoyabhibhuto	bismoyavibhuto	bismoyo-abhibhuto	bismayavibhuta	bismoyabhibhuto
বিস্মৃতিপ্রবণ	bismritiprobon	bismritiprabon	bismriti-probon	bismritiprabana	bismritiprobon
বিস্তারিতকরণ	bistaritokoron	bistaritakaran	bistari-to-koron	bistaritakaran	bistaritokoron
বৃক্ষরোপণ	brikkhoropon	brikkharopon	brikkho-ropon	vriksharopan	brikkhoropon
বৃক্ষচ্ছেদন	brikkhochchhedon	brikkhachchhedan	brikkho-cchhedon	vrikshachchhedan	brikkhochchhedon
বৃহস্পতিবার	brihoshpotiBar	brihospotibar	brihoshpoti-bar	brihaspatibar	brihospotibar
বৃহত্তর	brihottor	brihattara	brihot-tor	brihattara	brihottor
বৃহদাকৃতি	brihodakriti	brihadakriti	brihodo-akriti	brihadakriti	brihodakriti
বৈদ্যুতিক	boidyutik	baidyutik	boidyut-ik	baidyutika	boidyutik
বৈষম্যবিরোধী	boishommyobirodhi	boishamyabirodhi	boishommo-birodhi	vaishamyabirodhi	boishommyobirodhi
বৈশ্বিকীকরণ	boishshikikoron	boishwikikoron	boishshiki-koron	vaishwikikaran	boishshikikoron
ব্যক্তিত্বসম্পন্ন	bektittoshompanno	byaktittwasampanna	bektitto-shompanno	byaktittwasampanna	bektittoshompanno
ব্যঞ্জনবর্ণ	benjonborno	byanjonborno	benjon-borno	byanjanabarna	benjonborno
ব্যতিক্রমধর্মী	betikromodhormi	byatikramadharmi	betikromo-dhormi	byatikramadharmi	betikromodhormi
ব্যথানাশক	bethanashok	byathanashak	betha-nashok	byathanashaka	bethanashok
ব্যবস্থাপনা	bebosthapona	byabasthapona	bebostha-pona	byabasthapana	bebosthapona
ব্যবস্থাপনাগত	bebosthaponagoto	byabasthapanagata	bebosthapona-goto	byabasthapanagata	bebosthaponagoto
ব্যবহারিকতা	beboharikota	byaboharikota	bebohariko-ta	byabaharikata	beboharikota
ব্যর্থতাজনিত	berthotajonito	byarthatajanita	berthota-jonito	byarthatajanita	berthotajonito
ব্যাকরণসম্মত	byakoronshommoto	byakaranasammata	byakoron-shommoto	byakaranasammata	byakoronshommoto
ব্যাখ্যাযোগ্য	byakkhajoggo	byakhyajoggo	byakkha-joggo	byakhyayogya	byakkhajoggo
ব্যাধিগ্রস্ত	byadhigrosto	byadhigrasto	byadhi-grosto	byadhigrasta	byadhigrosto
ব্যাপকতর	byapokotoro	byapakatara	byapoko-toro	byapakatara	byapokotoro
ব্যাপ্তিকাল	byaptikal	byaptikal	byapti-kal	byaptikala	byaptikal
ব্যুৎপত্তিগত	byutpottigoto	byutpattigata	byutpotti-goto	byutpattigata	byutpottigoto
ব্যূহরচনা	byuhorochona	byuharachana	byuho-rochona	byuharachana	byuhorochona
ভগ্নাংশ	bhognangsho	bhagnangsho	bhogno-angsho	bhagnansha	bhognangsho
ভদ্রলোকসুলভ	bhodroloksulov	bhadraloksulabh	bhodrolok-sulov	bhadralokasulabha	bhodroloksulov
ভয়ংকরত্ব	bhoyonkortto	bhayankarattwa	bhoyonkor-tto	bhayankarattwa	bhoyonkortto
ভ্রষ্টাচার	bhrishtachar	bhrashtachar	bhrishta-char	bhrashtachara	bhrishtachar
ভ্রমণবৃত্তান্ত	bhromonbrittantO	bhramanavrittanta	bhromon-brittanto	bhramanavrittanta	bhromonbrittanto
ভ্রান্তিধারণা	bhrantidharona	bhrantidharana	bhranti-dharona	bhrantidharana	bhrantidharona
ভ্রূণহত্যা	bhrunhotta	bhrunhatya	bhrun-hotta	bhrunahatya	bhrunhotta
ভ্রূণাবস্থা	bhrunabostha	bhrunabastha	bhruno-abostha	bhrunabastha	bhrunabostha
ভ্রাতৃত্ববোধ	bhratrittobodh	bhratritwabodh	bhratritto-bodh	bhratritwabodha	bhratrittobodh
মঙ্গলোচ্ছ্বাস	monggolochchhash	manggalochchhash	monggolo-cchhash	manggalochchhwasa	monggolochchhash
মঞ্চস্থাপন	monchosthapon	manchasthapan	moncho-sthapon	manchasthapana	monchosthapon
মৎস্যজীবী	motshyojibi	matsyajibi	motshyo-jibi	matsyajibi	motshyojibee
মধ্যবর্তী	moddhyoborti	madhyabarti	moddho-borti	madhyabarti	moddhyoborti
মধ্যযুগীয়	moddhojugiyo	madhyajugiya	moddho-jugiyo	madhyayugiya	moddhojugiyo
মধ্যস্থতাকারী	moddhosthotakari	madhyasthatakari	moddho-sthota-kari	madhyasthatakari	moddhosthotakari
মন্ত্রিপরিষদ	montriporishod	mantriparishad	montri-porishod	mantriparishad	montriporishod
মন্ত্রোচ্চারণ	montrochcharon	mantrochcharan	monto-uccharon	mantrochcharana	montrochcharon
মনস্তাত্ত্বিক	monostattwik	manastattwik	monosto-tattwik	manastattwik	monostattwik
মনঃসংযোগ	monoshongjog	manasangjog	mono-shongjog	manasangyog	monoshongjog
মহৎপ্রাণ	mohotpran	mahatpran	mohot-pran	mahatprana	mohotpran
মহাপ্রস্থানের	mohprosthaner	mahaprasthaner	moha-prosthaner	mahaprasthanera	mohprosthaner
মৃত্যুঞ্জয়	mrittunjoy	mrityunjoy	mrittu-njoy	mrityunjaya	mrittunjoy
মৃত্তিকাশিল্প	mrittikashilpo	mrittikashilpa	mrittika-shilpo	mrittikashilpa	mrittikashilpo
মৃদুভাষী	mridubhashi	mridubhashi	mridu-bhashi	mridubhashi	mridubhashee
মৃৎশিল্প	mritshilpo	mritshilpa	mrit-shilpo	mritshilpa	mritshilpo
ম্লানপ্রভা	mlanoprobha	mlanaprabha	mlano-probha	mlanaprabha	mlanoprobha
ম্লেচ্ছতা	mlechchhota	mlechchhata	mlechchho-ta	mlechchhata	mlechchhota
যন্ত্রচালিত	jontrochalito	yantrachalita	jontro-chalito	yantrachalita	jontrochalito
যন্ত্রপাতি	jontropati	yantrapati	jontro-pati	yantrapati	jontropati
যন্ত্রবিদ্যা	jontrobiddya	yantrabidya	jontro-biddya	yantravidya	jontrobiddya
যন্ত্রণাদায়ক	jonttronadayok	yantranadayak	jonttrona-dayok	yantranadayaka	jonttronadayok
যথেষ্টতা	jotheshthota	jatheshthata	jotheshtho-ta	yatheshthata	jotheshthota
যথার্থতা	jotharthota	jatharthata	jothartho-ta	yatharthata	jotharthota
যজ্ঞশালা	joggoshala	yajnyashala	joggo-shala	yajnyashala	joggoshala
যৌক্তিকতা	jouktikota	jouktikata	jouktiko-ta	yauktikata	jouktikota
যৌথসম্পত্তি	jouthoshompotti	jouthasampatti	joutho-shompotti	yauthasampatti	jouthoshompotti
রক্তক্ষরণ	roktokkhoron	raktaksharan	rokto-kkhoron	raktaksharana	roktokkhoron
রক্তচাপ	roktochap	raktachap	rokto-chap	raktachapa	roktochap
রক্তসঞ্চালন	roktoshonchalon	raktasanchalan	rokto-shonchalon	raktasanchalana	roktoshonchalon
রক্ষণশীলতা	rokkhonshilota	rakshanshilata	rokkhon-shilota	rakshanshilata	rokkhonshilota
রক্ষণাবেক্ষণ	rokkhonabekkhon	rakshanabekshan	rokkhona-bekkhon	rakshanabekshana	rokkhonabekkhon
রক্ষণাবস্থা	rokkhonabostha	rakshanabastha	rokkhona-bostha	rakshanabastha	rokkhonabostha
রুদ্ধশ্বাস	ruddhoshash	ruddhashwas	ruddho-shash	ruddhashwasa	ruddhoshash
রুদ্ধদ্বার	ruddhodwar	ruddhadwar	ruddho-dwar	ruddhadwara	ruddhodwar
রূপান্তরযোগ্য	rupantorjoggo	rupantarayogya	rupan-tor-joggo	rupantarayogya	rupantorjoggo
রূপায়ণপ্রক্রিয়া	rupayonprokriya	rupayanaprakriya	rupayon-prokriya	rupayanaprakriya	rupayonprokriya
রোগপ্রতিরোধক্ষমতা	rogprotirodhkhomota	rogapratirodhakshamata	rog-protirodh-khomota	rogapratirodhakshamata	rogprotirodhkhomota
লক্ষ্মীপূর্ণিমা	lokkhipurnima	lakshmipurnima	lokkhi-purnima	lakshmipurnima	lokkhipurnima
লক্ষ্যনির্ধারণ	lokkhonirdharon	lakshyanirdharan	lokkho-nirdharon	lakshyanirdharana	lokkhonirdharon
লক্ষ্যভিত্তিক	lokkhobhittik	lakshyabhittik	lokkho-bhittik	lakshyabhittik	lokkhobhittik
লব্ধপ্রতিষ্ঠ	lobdhoprotishtho	labdhapratishtha	lobdho-protishtho	labdhapratishtha	lobdhoprotishtho
লজ্জাস্পদ	lojjaspodo	lajjasapada	lojja-spodo	lajjasapada	lojjaspodo
লজ্জাবনত	lojjabonoto	lajjabanata	lojja-bonoto	lajjabanata	lojjabonoto
লঙ্ঘনযোগ্য	longghonjoggo	langghanayogya	longghon-joggo	langghanayogya	longghonjoggo
লঙ্ঘিত	longghito	langghita	longghit	langghita	longghito
লুপ্তপ্রায়	luptopray	luptapraya	lupto-pray	luptapraya	luptopray
লোকশ্রুতি	lokoshruti	lokashruti	loko-shruti	lokashruti	lokoshruti
শক্তিশালীকরণ	shoktishalikoron	shaktishalikaran	shokti-shali-koron	shaktishalikaran	shoktishalikoron
শব্দচ্ছটা	shobdochchhota	shabdachchhata	shobdo-cchhota	shabdachchhata	shobdochchhota
শব্দব্রহ্ম	shobdobrohmmo	shabdabrahma	shobdo-brohmmo	shabdabrahma	shobdobrohmmo
শব্দভাণ্ডার	shobdobhandar	shabdabhandaR	shobdo-bhandar	shabdabhandaRa	shobdobhandar
শব্দসংক্ষেপ	shobdoshongkhep	shabdasangkshep	shobdo-shongkhep	shabdasangkshepa	shobdoshongkhep
শঙ্কাহীন	shonkahin	shankahin	shonka-hin	shankahina	shonkahin
শঙ্খধ্বনি	shongkhodhwoni	shankhadhwani	shongkho-dhwoni	shankhadhwani	shongkhodhwoni
শঙ্খচিল	shongkhochil	shankhachil	shongkho-chil	shankhachila	shongkhochil
শয্যাশায়ী	shojjashayi	shayyashayi	shojja-shayi	shayyashayi	shojjashayee
শর্তসাপেক্ষ	shortoshapekkho	shartasapeksha	shorto-shapekkho	shartasapeksha	shortoshapekkho
শর্তাধীন	shortadhin	shartadhin	shorto-dhin	shartadhina	shortadhin
শল্যচিকিৎসা	sholyochikitsa	shalyachikitsa	sholyo-chikitsa	shalyachikitsa	sholyochikitsa
শস্যক্ষেত্র	shosshokkhetro	shasyakshetra	shossho-kkhetro	shasyakshetra	shosshokkhetro
শাস্ত্রজ্ঞ	shastroggo	shastragnya	shastro-ggô	shastragnya	shastroggo
শাস্ত্রীয়	shastriyo	shastriya	shastro-iyo	shastriya	shastriyo
শাশ্বততা	shashshwotota	shashwatata	shashwoto-ta	shashwatata	shashshwotota
শিক্ষানবিশ	shikkhanobish	shikshanabish	shikkha-nobish	shikshanavish	shikkhanobish
শিক্ষাপ্রতিষ্ঠান	shikkhaprotishthan	shikshapratishthan	shikkha-protishthan	shikshapratishthan	shikkhaprotishthan
শিক্ষানুরাগী	shikkhanuragi	shikshanuragi	shikkha-nuragi	shikshanuragi	shikkhanuragee
শিল্পপ্রতিষ্ঠান	shilpoprotishthan	shilpapratishthan	shilpo-protishthan	shilpapratishthan	shilpoprotishthan
শিল্পোন্নয়ন	shilponnoyon	shilponnayan	shilpo-nnoyon	shilponnayan	shilponnoyon
শিশুসুলভ	shishushulov	shishusulabh	shishu-shulov	shishusulabha	shishushulov
শিষ্টাচারবহির্ভূত	shishtacharbohirbhuto	shishtacharabahirbhuta	shishtachar-bohirbhuto	shishtacharabahirbhuta	shishtacharbohirbhuto
শীর্ণকায়	shirnokayo	shirnakaya	shirno-kayo	shirnakaya	shirnokayo
শুদ্ধাচারী	shuddhachari	shuddhachari	shuddho-chari	shuddhachari	shuddhacharee
শূন্যস্থান	shunnosthan	shunyasthan	shunno-sthan	shunyasthana	shunnosthan
শৃঙ্খলাবদ্ধ	shrinkholaboddho	shrinkhalabaddha	shrinkhola-boddho	shrinkhalabaddha	shrinkholaboddho
শ্রদ্ধেয়	shraddheyo	shraddheya	shraddho-eyo	shraddheya	shraddheyo
শ্রদ্ধাঞ্জলি	shraddhanjoli	shraddhanjali	shraddha-njoli	shraddhanjali	shraddhanjoli
শ্রবণশক্তি	shrobonshokti	shrabanshakti	shrobon-shokti	shrabanshakti	shrobonshokti
শ্রান্তিকর	shrantikor	shrantikaro	shranti-kor	shrantikarak	shrantikor
শ্রেণিবিন্যাস	shrenibinnyash	shrenivinyas	shreni-binnyash	shrenivinyasa	shrenibinnyash
শ্রেয়স্কর	shreyoshkor	shreyaskar	shreyo-shkor	shreyaskara	shreyoshkor
শ্রোতৃমণ্ডলী	shrotrimondoli	shrotRimandali	shrotri-mondoli	shrotrimandali	shrotrimondoli
ষড়যন্ত্রকারী	shorojontrokari	shadayantrakaRi	shoro-jontro-kari	shadayantrakaRi	shorojontrokari
ষড়রিপু	shororipu	shadaripu	shoro-ripu	shadaripu	shororipu
ষট্কোণ	shotkon	shatkon	shot-kon	shatkona	shotkon
ষষ্ঠাংশ	shoshthangsho	shashthansha	shoshtho-angsho	shashthansha	shoshthangsho
ষষ্ঠীচরণ	shoshthichoron	shashthicharan	shoshthi-choron	shashthicharana	shoshthichoron
ষোড়শী	shoroshi	shodashi	shoro-shi	shodashi	shoroshi
ষোড়শোপচার	shoroshopochār	shodashopachar	shorosho-pochar	shodashopachara	shoroshopochār
সঙ্কটাপন্ন	shongkotaponno	sankatapanNa	shongkoto-ponno	sankatapanNa	shongkotaponno
সংশ্লিষ্টতা	shongshlishtota	sangshlishtata	shongshlishto-ta	sangshlishtata	shongshlishtota
সংশোধনযোগ্য	shongshodhonjoggo	sangshodhanayogya	shongshodhon-joggo	sangshodhanayogya	shongshodhonjoggo
সঙ্গীতজ্ঞ	shonggitoggo	sangitagya	shonggito-ggô	sangitagya	shonggitoggo
সঙ্গোপন	shonggopon	sanggopan	shonggo-pon	sanggopana	shonggopon
সঞ্জীবনী	shonjiboni	sanjivani	shonji-boni	sanjivani	shonjiboni
সঞ্জ্ঞানাশক	shonggyanashok	sanggyanashak	shonggya-nashok	sanggyanashaka	shonggyanashok
সন্তোষজনক	shontoshjonok	santoshajanak	shontosho-jonok	santoshajanaka	shontoshjonok
সন্তানসন্ততি	shontanshontoti	santanasantati	shontan-shontoti	santanasantati	shontanshontoti
সন্তর্পণে	shontorponE	santarpane	shontorpoNe	santarpane	shontorponE
সন্দেহপ্রবণ	shondehoprobon	sandehaprabana	shondeho-probon	sandehaprabana	shondehoprobon
সন্দর্ভগ্রন্থ	shondorbho-grontho	sandarbhagrantha	shondorbho-grontho	sandarbhagrantha	shondorbho-grontho
সন্নিবেশিত	shonnibeshito	sannibeshita	shonni-beshito	sannibeshita	shonnibeshito
সন্ন্যাসব্রত	shonnashbroto	sannyasavrata	shonnash-broto	sannyasavrata	shonnashbroto
সম্পর্কচ্ছেদ	shomporkochchhed	samparkachchheda	shomporko-cchhed	samparkachchheda	shomporkochchhed
সম্প্রসারণযোগ্য	shomprosharonjoggo	samprasaranayogya	shomprosharon-joggo	samprasaranayogya	shomprosharonjoggo
সম্প্রদায়ভিত্তিক	shomprodaybhittik	sampradayabhittik	shomproday-bhittik	sampradayabhittik	shomprodaybhittik
সম্প্রচারযোগ্য	shomprocharjoggo	sampracharayogya	shomprochar-joggo	sampracharayogya	shomprocharjoggo
সম্প্রীতিপূর্ণ	shompritipurno	sampritipurna	shompriti-purno	sampritipurna	shompritipurno
সম্ভাব্যতা	shombhabbyota	sambhavyata	shombhabbo-ta	sambhavyata	shombhabbyota
সম্ভাবনাময়	shombhabonamoy	sambhabanamaya	shombhabona-moy	sambhabanamaya	shombhabonamoy
সম্ভ্রান্তজন	shombhrantojon	sambhrantajana	shombhranto-jon	sambhrantajana	shombhrantojon
সম্বন্ধসূচক	shombondhosuchok	sambandhasuchaka	shombondho-suchok	sambandhasuchaka	shombondhosuchok
সম্বর্ধনাসভা	shombordhonashobha	sambardhanasabha	shombordhona-shobha	sambardhanasabha	shombordhonashobha
সম্মিলিতপ্রচেষ্টা	shommilitoprocheshta	sammilitapracheshta	shommilito-procheshta	sammilitapracheshta	shommilitoprocheshta
সম্মাননাপত্র	shommanonapotro	sammananapatra	shommanona-potro	sammananapatra	shommanonapotro
সম্মোহনীশক্তি	shommohanishokti	sammohanishakti	shommohani-shokti	sammohanishakti	shommohanishokti
সম্মুখসমর	shommukhoshomor	sammukhasamara	shommukho-shomor	sammukhasamara	shommukhoshomor
সরঞ্জামসমূহ	shoronjamoshomuho	saranjamasamuha	shoronjam-shomuho	saranjamasamuha	shoronjamoshomuho
সর্বজ্ঞতা	shorboggota	sarbajnyata	shorbo-ggota	sarbajnyata	shorboggota
সর্বব্যাপী	shorbobyapi	sarbavyapi	shorbo-byapi	sarbavyapi	shorbobyapi
সর্বস্বান্ত	shorboshshanto	sarbaswanta	shorbo-shshanto	sarbaswanta	shorboshshanto
সশ্রদ্ধচিত্তে	sashraddhochitte	sashraddhachitte	sashraddho-chitte	sashraddhachitte	sashraddhochitte
সহৃদয়তা	sohridoyota	sahridayata	sohridoyo-ta	sahridayata	sohridoyota
সাংখ্যিকতা	shangkhikota	sankhyikata	shangkhiko-ta	sankhyikata	shangkhikota
সাক্ষ্যপ্রমাণ	shakkhoproman	sakshyapraman	shakkho-promAN	sakshyapramana	shakkhoproman
সাক্ষাৎকারগ্রহণ	shakkhatkargrohon	sakshatkaragrahan	shakkhatkar-grohon	sakshatkaragrahana	shakkhatkargrohon
সাধ্যসাধনা	shaddhoshaddhona	sadhyasadhana	shaddho-shaddhona	sadhyasadhana	shaddhoshaddhona
সামঞ্জস্যপূর্ণ	shamonjoshshopurno	samanjasyapurna	shamonjoshsho-purno	samanjasyapurna	shamonjoshshopurno
সাম্প্রতিকতম	shamprotikotom	sampratikatama	shamprotiko-tom	sampratikatama	shamprotikotom
সাম্প্রদায়িকতা	shamprodayikota	sampradayikata	shamprodayiko-ta	sampradayikata	shamprodayikota
সার্বক্ষণিক	sharbokkhonik	sarbakshanik	sharbo-kkhonik	sarbakshanik	sharbokkhonik
সার্বভৌমত্ব	sharbobhoumotto	sarbabhaumattwa	sharbo-bhoumo-tto	sarbabhaumattwa	sharbobhoumotto
সাহিত্যসম্মেলন	shahittyoshommeloN	sahityasammelan	shahittyo-shommeloN	sahityasammelan	shahittyoshommeloN
সিদ্ধান্তগ্রহণ	shiddhantogrohon	siddhantagrahan	shiddhanto-grohon	siddhantagrahana	shiddhantogrohon
সিদ্ধহস্ত	shiddhohosto	siddhahasta	shiddho-hosto	siddhahasta	shiddhohosto
সিদ্ধান্তমূলক	shiddhantomulok	siddhantamulaka	shiddhanto-mulok	siddhantamulaka	shiddhantomulok
সিন্দুকভর্তি	shindukbhorti	sindukabharti	shinduk-bhorti	sindukabharti	shindukbhorti
সূক্ষ্মদর্শী	sukkhmodorshi	sukshmadarshi	sukkhmo-dorshi	sukshmadarshi	sukkhmodorshi
সূক্ষ্মাতিসূক্ষ্ম	sukkhmotisukkhmo	sukshmatisukshma	sukkhmoti-sukkhmo	sukshmatisukshma	sukkhmotisukkhmo
সুপ্রতিষ্ঠিত	suprotishthito	supratishthita	su-protishthito	supratishthita	suprotishthito
সুপ্রশস্ত	suproshosto	suprashasta	su-proshosto	suprashasta	suproshosto
সুব্যবস্থাপনা	subebosthapona	subyabasthapana	su-bebosthapona	subyabasthapana	subebosthapona
সুস্বাস্থ্যকর	shushasthokor	suswasthyakar	suswasthyo-kor	suswasthyakar	shushasthokor
সুস্থিরচিত্তে	susthirchitte	susthirachitte	susthiro-chitte	susthirachitte	susthirchitte
সৃষ্টিশীলতা	srishtishilota	srishtishilata	srishti-shilota	srishtishilata	srishtishilota
সৃষ্টিকর্তা	srishtikorta	srishtikarta	srishti-korta	srishtikarta	srishtikorta
সৃষ্টিতত্ত্ব	srishtitotto	srishtitattwa	srishti-totto	srishtitattwa	srishtitotto
স্তম্ভিতপ্রায়	stombhitopray	stambhitapraya	stombhito-pray	stambhitapraya	stombhitopray
স্তরবিন্যাস	storobinnyash	staravinyasa	storo-binnyash	staravinyasa	storobinnyash
স্ত্রীস্বাধীনতা	strishwadhinota	striswadhinata	stri-shwadhinota	striswadhinata	strishwadhinota
স্থগিতাদেশ	sthogitadesh	sthagitadesh	sthogito-adesh	sthagitadesha	sthogitadesh
স্থায়িত্বশীল	sthayittoshil	sthayitwashil	sthayitto-shil	sthayitwashil	sthayittoshil
স্থাপত্যশৈলী	sthapottyoshoili	sthapatyashaili	sthapottyo-shoili	sthapatyashaili	sthapottyoshoili
স্থূলকায়	sthulkayo	sthulakaya	sthul-kayo	sthulakaya	sthulkayo
স্খলনপ্রবণ	skholonprobon	skhalanaprabana	skholon-probon	skhalanaprabana	skholonprobon
স্পন্দনশীল	spondonshil	spandanshil	spondon-shil	spandanshil	spondonshil
স্পষ্টভাষী	spostobhashi	spashtabhashi	sposto-bhashi	spashtabhashi	spostobhashee
স্পর্শকাতরতা	sporshokatorota	sparshakatarata	sporsho-katorota	sparshakatarata	sporshokatorota
স্পর্ধামূলক	spordhamulok	spardhamulaka	spordha-mulok	spardhamulaka	spordhamulok
স্ফটিকস্বচ্ছ	sphotikshwocchho	sphatikaswachchha	sphotiko-shwocchho	sphatikaswachchha	sphotikshwocchho
স্ফূর্তিদায়ক	sphurtidayok	sphurtidayak	sphurti-dayok	sphurtidayaka	sphurtidayok
স্মৃতিচারণ	smriticharon	smriticharan	smriti-charon	smriticharana	smriticharon
স্মৃতিশক্তি	smritishokti	smritishakti	smriti-shokti	smritishakti	smritishokti
স্মরণীয়তা	smoroniYota	smaraniyata	smoroniYo-ta	smaraniyata	smoroniYota
স্রষ্টানির্মিত	sroshtanirmito	srashtanirmita	sroshta-nirmito	srashtanirmita	sroshtanirmito
স্বতঃস্ফূর্ত	swotosphurto	swatahspurta	swoto-sphurto	swatahspurta	swotosphurto
স্বপ্নদ্রষ্টা	shopnodroshta	swapnadrishta	shopno-droshta	swapnadrishta	shopnodroshta
স্বল্পস্থায়ী	sholposthayi	swalpasthayi	sholpo-sthayi	swalpasthayi	sholposthayee
স্বাক্ষরজালিয়াতি	shakkhorjaliati	swaksharajaliyati	shakkhor-jaliati	swaksharajaliyati	shakkhorjaliati
স্বাস্থ্যসচেতন	shasthoshocheton	swasthyasachetan	shasthyo-shocheton	swasthyasachetan	shasthoshocheton
স্বাস্থ্যবিধি	shasthobidhi	swasthyabidhi	shasthyo-bidhi	swasthyabidhi	shasthobidhi
স্বাধীনতাসংগ্রাম	swadhinotashonggram	swadhinatasangram	swadhinota-shonggram	swadhinatasangrama	swadhinotashonggram
